x,y,z
-0.059498,-0.201471,-1.31003
-0.000189152,-0.210049,-1.31003
0.0591326,-0.201528,-1.31004
-0.113952,-0.176421,-1.31002
0.113648,-0.176618,-1.31005
-0.159149,-0.13706,-1.31006
-0.0629245,-0.141655,-1.31003
-0.00355133,-0.150192,-1.31007
0.158927,-0.137332,-1.31007
-0.191373,-0.0865563,-1.31002
-0.109299,-0.103685,-1.3101
-0.0402326,-0.086182,-1.30995
0.0191099,-0.0946895,-1.31007
0.077311,-0.109148,-1.31007
0.0598627,-0.0506857,-1.31003
0.131701,-0.0839172,-1.31005
0.192345,-0.0841315,-1.31
-0.208124,-0.0290347,-1.31005
-0.115562,-0.0440244,-1.31003
-0.0575614,-0.0288097,-1.31004
0.160446,-0.0313377,-1.31005
-0.156052,0.000460073,-1.31001
-0.0980655,0.015347,-1.31007
0.00104081,-0.0163125,-1.31004
0.102463,-0.00823913,-1.31
0.210062,0.00227371,-1.31005
-0.207735,0.0309143,-1.31007
-0.0399838,0.0300549,-1.31007
0.0490112,0.0195899,-1.31009
0.156965,0.0300859,-1.31009
-0.140642,0.0583751,-1.31003
0.00947822,0.0646475,-1.31006
0.0963633,0.0563803,-1.31003
0.19591,0.0756888,-1.31005
-0.18594,0.0976722,-1.31008
-0.105349,0.106822,-1.31005
-0.0449514,0.0898079,-1.31004
0.0728191,0.111546,-1.31001
0.14003,0.0975123,-1.31
-0.147497,0.149506,-1.31003
-0.0348811,0.148878,-1.31009
0.0251723,0.147995,-1.3101
-0.0946841,0.177917,-1.31003
0.0805512,0.171022,-1.31003
0.138957,0.157492,-1.31008
-0.0270521,0.208301,-1.31001
0.0329113,0.207447,-1.30958
0.0477767,-0.151136,-1.27911
-0.00400643,-0.0587533,-1.26801
-0.163602,-0.0472018,-1.27429
0.205821,-0.0417739,-1.26956
-0.000742194,0.0264681,-1.26497
-0.0785117,0.057537,-1.27231
0.0528146,0.073343,-1.26832
0.00444763,0.108775,-1.26982
-0.0766289,0.138792,-1.26829
-0.0876929,-0.190843,-1.25807
-0.0301774,-0.207845,-1.25811
0.0297704,-0.207915,-1.25813
0.0872967,-0.191047,-1.25815
-0.138461,-0.157993,-1.25786
0.137712,-0.158621,-1.25818
-0.0876248,-0.135091,-1.23599
-0.0334422,-0.147954,-1.25819
-0.185101,-0.0993633,-1.25176
-0.126081,-0.0895335,-1.25439
-0.0467025,-0.0917422,-1.24193
0.0506597,-0.0919171,-1.2592
0.108916,-0.106066,-1.25923
0.176941,-0.113321,-1.25821
0.150888,-0.0596612,-1.25345
-0.0834605,-0.0477096,-1.25938
0.0396045,-0.0177957,-1.26415
0.094074,-0.0425363,-1.26146
-0.209923,0.00645713,-1.25538
-0.124059,-0.00358456,-1.25943
-0.0557247,0.00516462,-1.25408
0.138792,-0.00170624,-1.26267
0.0840455,0.0225835,-1.26163
0.208778,0.0231122,-1.25387
-0.199656,0.0651974,-1.2616
-0.131797,0.0782206,-1.25414
-0.0267551,0.071347,-1.23493
0.133937,0.0597624,-1.26343
0.193771,0.0810195,-1.25038
0.106834,0.113026,-1.25878
-0.168802,0.125052,-1.2596
0.0537245,0.140772,-1.25791
0.163758,0.131541,-1.2621
-0.1269,0.167355,-1.25238
-0.00453842,0.171187,-1.2635
0.119429,0.172778,-1.2555
-0.0640065,0.20002,-1.2635
0.0658521,0.199462,-1.25934
-0.0594912,-0.201433,-1.2062
-0.000174109,-0.210024,-1.20441
0.0591558,-0.201512,-1.20624
-0.113579,-0.176672,-1.19869
0.0190069,-0.15785,-1.22693
0.113699,-0.176618,-1.2063
-0.141489,-0.124482,-1.20822
-0.0327941,-0.148322,-1.19827
0.0735852,-0.134061,-1.21966
0.158954,-0.137291,-1.20629
0.00773227,-0.0996145,-1.21809
0.124907,-0.0879692,-1.2044
-0.092862,-0.0767837,-1.20621
0.0705244,-0.0633849,-1.21039
0.196189,-0.0749891,-1.21632
-0.204643,-0.0472971,-1.2294
-0.146011,-0.0449336,-1.21705
-0.0465562,-0.0392721,-1.21288
0.0133874,-0.0384238,-1.21433
0.120972,-0.0265072,-1.21029
0.179262,-0.0177126,-1.22145
-0.0216054,0.0147604,-1.20571
0.0654963,-0.00366688,-1.21103
-0.162125,0.0314913,-1.22917
-0.102628,0.0375362,-1.22117
0.0295721,0.0440738,-1.2164
0.144576,0.0302863,-1.21233
0.0886301,0.0516132,-1.20944
-0.187362,0.0949715,-1.2111
-0.0807579,0.096,-1.22646
0.0522285,0.0995484,-1.21436
0.13502,0.0894417,-1.21138
-0.133269,0.120741,-1.21157
-0.0324677,0.131428,-1.2284
0.0207313,0.151111,-1.20894
0.0902891,0.145724,-1.21066
0.150017,0.147126,-1.20588
-0.0846449,0.155807,-1.2114
-0.0393595,0.206298,-1.2092
0.0187587,0.209245,-1.22356
-0.0857365,-0.128377,-1.17648
0.0279431,-0.133439,-1.17288
-0.188995,-0.0916126,-1.19213
-0.0395569,-0.0904288,-1.18238
0.0803144,-0.104502,-1.1679
0.183516,-0.10214,-1.16438
0.0289306,-0.0736463,-1.16837
0.151316,-0.0515538,-1.16483
-0.206455,-0.0386297,-1.1701
0.207645,-0.0320119,-1.17069
-0.209457,0.0153523,-1.19606
-0.154148,0.000233034,-1.17841
-0.0986538,-0.0159688,-1.19444
0.023075,-0.000640015,-1.16879
0.207943,0.029321,-1.1942
-0.142361,0.065863,-1.18419
